ISO,Country,2018,2019,2020
AFG,Afghanistan,73.091,76.624,74.792
ALB,Albania,38.301,39.832,38.078
DZA,Algeria,652.795,668.827,638.363
AGO,Angola,200.4,200.83,199.329
ATG,Antigua and Barbuda,2.583,2.767,2.506
ARG,Argentina,915.749,911.562,864.887
ARM,Armenia,30.534,33.426,33.141
ABW,Aruba,4.377,4.472,3.883
AUS,Australia,1314.459,1362.073,1279.361
AUT,Austria,461.331,476.812,446.265
AZE,Azerbaijan,180.084,187.346,184.418
BHS,The Bahamas,12.357,12.798,11.807
BHR,Bahrain,74.271,76.94,74.649
BGD,Bangladesh,763.99,838.554,860.916
BRB,Barbados,5.344,5.432,5.051
BLR,Belarus,189.46,195.119,184.593
BEL,Belgium,555.502,572.902,536.621
BLZ,Belize,3.291,3.358,2.974
BEN,Benin,37.545,40.643,42.749
BTN,Bhutan,7.406,7.937,8.2
BOL,Bolivia,89.258,93.357,91.225
BIH,Bosnia and Herzegovina,47.59,49.727,47.54
BWA,Botswana,41.911,43.907,41.809
BRA,Brazil,3382.591,3480.546,3316.92
BRN,Brunei Darussalam,34.662,36.631,37.342
BGR,Bulgaria,162.516,170.925,165.13
BFA,Burkina Faso,43.99,47.303,48.553
BDI,Burundi,8.413,8.711,8.281
CPV,Cabo Verde,4.047,4.343,4.194
KHM,Cambodia,70.662,76.959,76.218
CMR,Cameroon,95.309,100.604,100.013
CAN,Canada,1841.626,1904.393,1797.17
CAF,Central African Republic,4.008,4.199,4.27
TCD,Chad,30.465,31.913,32.065
CHL,Chile,481.282,495.176,475.964
CHN,China,25293.584,27306.979,27804.953
COL,Colombia,747.536,785.836,771.957
COM,Comoros,2.441,2.53,2.516
COD,Democratic Republic of the Congo,78.297,83.151,81.806
COG,Republic of Congo,30.964,31.219,30.702
CRI,Costa Rica,88.637,92.062,89.597
CIV,C�te d'Ivoire,145.533,158.288,163.594
HRV,Croatia,107.554,112.623,103.111
CYP,Cyprus,35.147,36.915,34.745
CZE,Czech Republic,395.747,412.978,388.587
DNK,Denmark,306.755,319.491,300.621
DJI,Djibouti,5.723,6.259,6.362
DMA,Dominica,0.763,0.848,0.813
DOM,Dominican Republic,186.519,199.395,198.725
ECU,Ecuador,200.015,203.611,192.056
EGY,Egypt,1295.434,1391.271,1427.432
SLV,El Salvador,53.353,55.578,52.888
GNQ,Equatorial Guinea,29.525,28.208,26.828
ERI,Eritrea,6.238,6.591,6.64
EST,Estonia,45.036,47.807,44.503
SWZ,Eswatini,12.069,12.407,12.368
ETH,Ethiopia,219.739,243.618,253.102
FJI,Fiji,10.397,10.631,10.078
FIN,Finland,258.786,265.879,251.431
FRA,France,2970.43,3061.815,2860.018
GAB,Gabon,37.84,39.81,39.584
GMB,The Gambia,5.947,6.412,6.614
GEO,Georgia,44.784,47.91,46.286
DEU,Germany,4342.909,4443.569,4160.925
GHA,Ghana,189.707,204.813,209.179
GRC,Greece,312.267,323.653,293.009
GRD,Grenada,1.731,1.816,1.681
GTM,Guatemala,144.985,152.779,150.731
GIN,Guinea,31.066,33.392,34.585
GNB,Guinea-Bissau,3.473,3.696,3.664
GUY,Guyana,6.712,7.148,10.989
HTI,Haiti,20.733,20.842,20.135
HND,Honduras,49.2,51.385,50.496
HKG,Hong Kong SAR,479.662,482.226,461.894
HUN,Hungary,314.5,335.752,327.41
ISL,Iceland,19.332,20.046,18.72
IND,India,10413.608,11043.18,11321.28
IDN,Indonesia,3495.968,3735.644,3778.134
IRN,Islamic Republic of Iran,1586.222,1491.445,1411.093
IRQ,Iraq,669.906,708.265,679.098
IRL,Ireland,389.143,417.875,392.014
ISR,Israel,336.992,354.878,334.675
ITA,Italy,2405.497,2454.809,2244.767
JAM,Jamaica,27.171,27.913,26.516
JPN,Japan,5577.565,5711.929,5451.452
JOR,Jordan,92.74,96.263,93.256
KAZ,Kazakhstan,508.817,540.984,530.646
KEN,Kenya,177.954,191.243,194.401
KIR,Kiribati,0.242,0.251,0.253
KOR,Korea,2235.287,2320.498,2307.718
UVK,Kosovo,20.912,22.128,21.155
KWT,Kuwait,301.172,308.672,307.193
KGZ,Kyrgyz Republic,24.539,26.082,25.187
LAO,Lao P.D.R.,53.623,57.133,57.912
LVA,Latvia,57.199,59.475,54.7
LBN,Lebanon,88.615,84.288,74.628
LSO,Lesotho,6.713,6.911,6.593
LBR,Liberia,6.33,6.278,6.16
LBY,Libya,74.719,83.54,34.753
LTU,Lithuania,97.436,103.014,95.286
LUX,Luxembourg,66.125,68.824,65.868
MAC,Macao SAR,78.143,75.76,53.662
MDG,Madagascar,49.6,52.865,53.409
MWI,Malawi,23.661,25.157,25.57
MYS,Malaysia,1014.018,1076.373,1064.795
MDV,Maldives,7.883,8.474,7.839
MLI,Mali,44.337,47.411,48.443
MLT,Malta,21.658,23.001,22.496
MHL,Marshall Islands,0.202,0.21,0.211
MRT,Mauritania,23.635,25.456,25.109
MUS,Mauritius,30.006,31.592,29.631
MEX,Mexico,2575.206,2616.289,2458.339
FSM,Micronesia,0.352,0.362,0.363
MDA,Moldova,25.897,27.292,26.642
MNG,Mongolia,43.695,46.723,46.55
MNE,Montenegro,11.96,12.608,11.549
MAR,Morocco,314.709,327.251,317.001
MOZ,Mozambique,42.994,44.716,45.99
MMR,Myanmar,329.78,357.339,366.079
NAM,Namibia,26.673,26.76,26.261
NRU,Nauru,0.122,0.125,0.124
NPL,Nepal,86.655,94.383,97.365
NLD,Netherlands,970.536,1005.337,935.911
NZL,New Zealand,200.79,208.744,194.919
NIC,Nicaragua,35.661,34.875,32.991
NER,Niger,32.189,34.659,35.211
NGA,Nigeria,1168.751,1215.389,1181.399
MKD,North Macedonia,32.93,34.694,33.517
NOR,Norway,395.872,407.412,384.298
OMN,Oman,200.314,204.762,200.203
PAK,Pakistan,1143.372,1201.629,1190.555
PLW,Palau,0.283,0.289,0.256
PAN,Panama,106.866,111.998,110.399
PNG,Papua New Guinea,32.396,34.617,34.502
PRY,Paraguay,94.467,96.306,95.949
PER,Peru,457.956,476.014,457.32
PHL,Philippines,953.288,1027.186,1040.413
POL,Poland,1215.446,1287.275,1236.132
PRT,Portugal,333.783,346.926,321.199
PRI,Puerto Rico,126.158,130.925,123.851
QAT,Qatar,352.487,358.869,345.455
ROU,Romania,518.633,549.195,525.051
RUS,Russia,4257.839,4389.96,4176.35
RWA,Rwanda,27.657,30.971,32.258
WSM,Samoa,1.11,1.168,1.132
SMR,San Marino,2.026,2.084,1.842
STP,S�o Tom� and Pr�ncipe,0.723,0.745,0.705
SAU,Saudi Arabia,1862.149,1900.894,1869.288
SEN,Senegal,59.839,64.101,66.438
SRB,Serbia,122.846,130.222,127.096
SYC,Seychelles,2.895,3.06,2.746
SLE,Sierra Leone,12.238,13.089,12.868
SGP,Singapore,579.378,593.802,576.839
SVK,Slovak Republic,190.643,198.382,187.264
SVN,Slovenia,75.967,79.179,73.276
SLB,Solomon Islands,1.412,1.455,1.433
SOM,Somalia,12.088,12.655,12.417
ZAF,South Africa,789.694,804.688,762.826
SSD,South Sudan,19.512,22.092,23.32
ESP,Spain,1854.031,1923.646,1780.996
LKA,Sri Lanka,292.279,304.166,304.458
KNA,St. Kitts and Nevis,1.582,1.656,1.532
LCA,St. Lucia,2.835,2.934,2.702
VCT,St. Vincent and the Grenadines,1.352,1.381,1.327
SDN,Sudan,176.68,175.228,163.606
SUR,Suriname,8.991,9.358,8.956
SWE,Sweden,548.338,564.771,529.778
CHE,Switzerland,551.473,566.231,535.832
SYR,Syria,n/a,n/a,n/a
TWN,Taiwan Province of China,1282.058,1339.812,1293.972
TJK,Tajikistan,31.206,34.131,34.692
TZA,Tanzania,178.968,193.504,198.652
THA,Thailand,1322.561,1377.535,1293.924
TLS,Timor-Leste,1.923,2.017,2.613
TGO,Togo,13.974,14.972,15.217
TON,Tonga,0.614,0.624,0.62
TTO,Trinidad and Tobago,44.177,44.946,43.178
TUN,Tunisia,144.631,148.688,143.234
TUR,Turkey,2299.753,2361.778,2257.987
TKM,Turkmenistan,112.613,121.848,124.884
TUV,Tuvalu,0.046,0.049,0.049
UGA,Uganda,111.189,118.694,123.653
UKR,Ukraine,390.415,409.825,380.545
ARE,United Arab Emirates,722.015,744.092,722.67
GBR,United Kingdom,3065.042,3162.408,2975.557
USA,United States,20580.25,21427.675,20289.987
URY,Uruguay,81.191,82.791,80.817
UZB,Uzbekistan,282.31,303.317,310.738
VUT,Vanuatu,0.813,0.851,0.829
VEN,Venezuela,305.457,202.009,n/a
VNM,Vietnam,919.772,1001.478,1035.051
YEM,Yemen,69.439,72.133,70.414
ZMB,Zambia,73.441,75.857,73.662
ZWE,Zimbabwe,42.582,39.739,37.039
